Sorted list of BTC addresses
BTC address;Amount (Satoshi)
3MLNT4hENTQnz6NDBYEpfDpxBAhvHsFYNh;0
3MLiZWco3YEXViMDYVhuvCEtxtkvgGweZL;0
3MKEWn4GEcgwyqzhfbk35vP9SsaaBbHeah;0
3MKa526SZQuJ6bXKtbfp3UsR8JzQmtxe58;0
3Mk1N6ugUrwhAEBa4YQvPQuWVW1riVEBfK;0
3MindUjUpiGFqECndGmfAX4EiiewuzWLGp;0
3MGsaCNFxLhbvXjJW5b7fvwmoUtY6VgpSg;0
128L6XTEVnLGwr4iJoCJ8aDXHGMHwc2hqi;0
3MgniSE8oAUjch3tiaB3w5dZteaTkYvDsw;0
3Mev2tFH6Axf3DDs8NKVSzidr8wBz8aDJj;0
3MEpPMH9ssoejFFRhg6BJqsLUPrLvZK35D;0
3Me26oM1QSCkJ6ScJrxFPJ5NTCv1Nmkb12;0
3MDXmFbK9ZvhGjjR7L6v7rnyAnj4xLt1hw;0
3McbLm9sZw94iF2Zd2e4mVt1VicUWiPrjL;0
3MB277GDmXWvjezMGLRKSVCXQ8rnKfXKwC;0
3M9QAtAiASLh7U6rrNST8B522qxwCXdP5G;0
3M5qF8T5Fqw6syC2A6Wra5LXEuNX2mRWdL;0
128L3aSgMWRPbSphDG4bi5A9ftcJU6fbQC;0
3LzxrrAiFZWcxbanjL5GHCaMeyHEviZ2M8;0
3LytoyoHoaWvcBeB8Vs6HLbvsasKj8GQDV;0
3LYrdxM2b2NKha3RAscVScy16987aZCZmM;0
3LYifBHCfcFy2JCU5UiSEu2uPRYTGyh2j4;0
3LyDncpx8PLTzu1fHfzoJvvcg6DbAgGxQo;0
3LXZMJGPkctmcLP4WQMDTQ7JRmTUWyWuj3;0
3LWyQD19Ju1Lvjn5vJM3CngSmRrbAEjjJj;0
3LwxBbJ9XzttY2Voh4jExW6Bj6chxjdLMa;0
3LvzckKmTHWFXcYT5kzzyu4sSebDvLv2bT;0
3LU5gAmnoAtu3WCpScTR4a1AJbmCiE71z6;0
128knC7Qbo2PB6tf11uUQC1PSsWFFPmfe3;0
3LTZjNmbkzMxCsKKtPuMiV3hxFPdsB2vXM;0
3Ls9BZq2KzR97pNdJJPvb3mvSYAJuJZSey;0
3LrUpZmEDqZ7CQnoixDg5nPhhcouC5HAJc;0
3LRKAbMBAXM7MrPRjgicy9xKQNQofh4RHv;0
3LqDYJAZF1pKiuzqXfhbTCKK6FugXes1EE;0
3LPtTkEfjHvQaze8oL9msA5vJocuW8zkVS;0
